N,K,method_id,label,throughput_mbps,se_bps_per_hz
8,50,random,Random,103.6787380398919,5.183936901994595
8,50,random,Random,97.95312640460875,4.897656320230438
8,50,random,Random,29.818004546230302,1.490900227311515
8,50,random,Random,90.70664584140268,4.535332292070134
8,50,random,Random,108.44579410602954,5.422289705301477
8,50,random,Random,68.93496956558124,3.4467484782790625
8,50,random,Random,45.76900752792419,2.2884503763962094
8,50,random,Random,67.26109771822502,3.363054885911251
8,50,random,Random,79.17907251617645,3.9589536258088223
8,50,random,Random,53.33069566992807,2.6665347834964033
8,50,random,Random,38.02678884054932,1.901339442027466
8,50,random,Random,93.03994857438522,4.651997428719262
8,50,random,Random,14.905689602613164,0.7452844801306582
8,50,random,Random,15.800614710336944,0.7900307355168472
8,50,random,Random,78.37742519105846,3.918871259552923
8,50,random,Random,57.65598872867345,2.8827994364336726
8,50,random,Random,70.94627741471592,3.547313870735796
8,50,random,Random,65.4344575261043,3.2717228763052146
8,50,random,Random,111.73344421785863,5.586672210892932
8,50,random,Random,69.02427560769522,3.451213780384761
8,50,random,Random,93.07698907048503,4.653849453524251
8,50,random,Random,98.51321172384567,4.925660586192284
8,50,random,Random,72.59399610552119,3.629699805276059
8,50,random,Random,50.83188637960328,2.541594318980164
8,50,random,Random,71.30270625283897,3.5651353126419485
8,50,random,Random,44.54425917125576,2.227212958562788
8,50,random,Random,60.47797624740085,3.0238988123700423
8,50,random,Random,56.85216313434574,2.842608156717287
8,50,random,Random,13.250436001973341,0.662521800098667
8,50,random,Random,66.25746789802935,3.3128733949014677
8,50,random,Random,98.15047499171978,4.907523749585989
8,50,random,Random,88.9660950838585,4.448304754192925
8,50,random,Random,52.59690729938886,2.629845364969443
8,50,random,Random,83.95537686488098,4.197768843244049
8,50,random,Random,104.36455902461104,5.218227951230552
8,50,random,Random,75.82833467877694,3.791416733938847
8,50,random,Random,82.59033750533229,4.1295168752666145
8,50,random,Random,69.33643700901563,3.466821850450781
8,50,random,Random,91.70514910573195,4.585257455286597
8,50,random,Random,35.67353695036569,1.7836768475182843
8,50,random,Random,85.63127761775979,4.2815638808879894
8,50,random,Random,100.88294036613104,5.0441470183065515
8,50,random,Random,84.58134848121595,4.229067424060798
8,50,random,Random,97.63879431298841,4.881939715649421
8,50,random,Random,94.4712705773191,4.723563528865955
8,50,random,Random,4.1209709003224555,0.20604854501612277
8,50,random,Random,40.294262236214095,2.0147131118107047
8,50,random,Random,90.41864651003459,4.52093232550173
8,50,random,Random,84.58315979539883,4.229157989769941
8,50,random,Random,88.81201688315973,4.440600844157986
8,50,random,Random,98.18512591199973,4.909256295599986
8,50,random,Random,97.71293929118293,4.885646964559147
8,50,random,Random,49.04010574410101,2.4520052872050506
8,50,random,Random,68.99214175556826,3.4496070877784124
8,50,random,Random,96.09634912637327,4.804817456318664
8,50,random,Random,66.7778376511106,3.3388918825555303
8,50,random,Random,19.801228696681715,0.9900614348340858
8,50,random,Random,85.16800027894098,4.258400013947049
8,50,random,Random,83.43564860905128,4.171782430452565
8,50,random,Random,69.43572387271703,3.471786193635852
8,50,random,Random,78.46068816719027,3.9230344083595132
8,50,random,Random,105.37788094378465,5.268894047189232
8,50,random,Random,83.37619370983143,4.1688096854915715
8,50,random,Random,81.67103197721681,4.083551598860841
8,50,random,Random,66.76077728120357,3.3380388640601786
8,50,random,Random,16.299127505209384,0.8149563752604693
8,50,random,Random,75.67446655214852,3.7837233276074262
8,50,random,Random,56.55021383540714,2.827510691770357
8,50,random,Random,98.06391647598795,4.903195823799398
8,50,random,Random,58.93052837250427,2.9465264186252136
8,50,random,Random,76.15254678016093,3.8076273390080466
8,50,random,Random,24.361153004773914,1.2180576502386957
8,50,random,Random,20.952530784605123,1.0476265392302562
8,50,random,Random,103.21757221851074,5.160878610925536
8,50,random,Random,53.29597521526461,2.6647987607632304
8,50,random,Random,53.19167611114347,2.6595838055571734
8,50,random,Random,91.83287644973532,4.591643822486766
8,50,random,Random,44.26804889833978,2.213402444916989
8,50,random,Random,62.52679385079851,3.1263396925399256
8,50,random,Random,100.21409104880291,5.010704552440146
8,50,random,Random,46.35719060279578,2.317859530139789
8,50,random,Random,116.69250973677495,5.834625486838748
8,50,random,Random,91.5079004002105,4.575395020010525
8,50,random,Random,75.94111522228619,3.797055761114309
8,50,random,Random,98.72665281046729,4.936332640523364
